year,id,date chick death,time 1 Oct,status,type
2017,2017_084,10/05/2018,190,0,NAT
2017,2017_085,10/05/2018,190,0,MB
2017,2017_086,10/05/2018,190,0,NAT
2017,2017_087,10/05/2018,190,0,MB
2017,2017_088,10/05/2018,190,0,H
2017,2017_089,10/05/2018,190,0,NAT
2017,2017_090,10/05/2018,190,0,MB
2017,2017_177,24/01/2018,84,1,NAT
2017,2017_155,25/01/2018,85,1,NAT
2017,2017_093,10/05/2018,190,0,NAT
2017,2017_094,10/05/2018,190,0,NAT
2017,2017_095,10/05/2018,190,0,H
2017,2017_096,10/05/2018,190,0,MB
2017,2017_167,25/01/2018,85,1,NAT
2017,2017_098,10/05/2018,190,0,MB
2017,2017_181,25/01/2018,85,1,NAT
2017,2017_100,10/05/2018,190,0,NAT
2017,2017_101,10/05/2018,190,0,NAT
2017,2017_102,10/05/2018,190,0,NAT
2017,2017_061,26/01/2018,86,1,H
2017,2017_062,26/01/2018,86,1,NAT
2017,2017_091,26/01/2018,86,1,NAT
2017,2017_106,10/05/2018,190,0,NAT
2017,2017_105,26/01/2018,86,1,NAT
2017,2017_108,10/05/2018,190,0,H
2017,2017_120,26/01/2018,86,1,H
2017,2017_152,26/01/2018,86,1,NAT
2017,2017_183,26/01/2018,86,1,NAT
2017,2017_112,10/05/2018,190,0,H
2017,2017_144,27/01/2018,87,1,H
2017,2017_161,27/01/2018,87,1,NAT
2017,2017_037,28/01/2018,88,1,NAT
2017,2017_116,10/05/2018,190,0,MB
2017,2017_110,29/01/2018,89,1,NAT
2017,2017_132,29/01/2018,89,1,NAT
2017,2017_156,29/01/2018,89,1,H
2017,2017_103,30/01/2018,90,1,NAT
2017,2017_019,31/01/2018,91,1,NAT
2017,2017_122,10/05/2018,190,0,NAT
2017,2017_021,31/01/2018,91,1,NAT
2017,2017_124,10/05/2018,190,0,NAT
2017,2017_053,31/01/2018,91,1,NAT
2017,2017_126,10/05/2018,190,0,NAT
2017,2017_127,10/05/2018,190,0,NAT
2017,2017_128,10/05/2018,190,0,H
2017,2017_057,31/01/2018,91,1,NAT
2017,2017_104,31/01/2018,91,1,NAT
2017,2017_131,10/05/2018,190,0,NAT
2017,2017_149,31/01/2018,91,1,NAT
2017,2017_133,10/05/2018,190,0,H
2017,2017_001,1/02/2018,92,1,H
2017,2017_135,10/05/2018,190,0,NAT
2017,2017_136,10/05/2018,190,0,MB
2017,2017_137,10/05/2018,190,0,H
2017,2017_138,10/05/2018,190,0,H
2017,2017_002,2/02/2018,93,1,NAT
2017,2017_140,10/05/2018,190,0,H
2017,2017_141,10/05/2018,190,0,H
2017,2017_142,10/05/2018,190,0,H
2017,2017_013,2/02/2018,93,1,H
2017,2017_020,2/02/2018,93,1,NAT
